SiteName,PSI,SO2,CO,O3,PM10,PM2.5,NO2,WindSpeed,WindDirec,FPMI,NOx,NO
Mailiao,80,2.1,0.33,64,98,43,5.4,4.6,72,5,7.24,1.85
Guanshan,37,1.2,,45,25,11,3.5,2.9,187,2,4.18,0.67
Magong,67,1.1,0.32,56,65,30,3.3,3.7,68,3,3.97,0.64
Kinmen,80,5.2,0.39,32,135,42,18,2,310,3,20.81,2.41
Matsu,35,1.6,0.31,42,21,14,7,1.3,58,2,8.55,1.6
Puli,75,1.9,0.56,90,79,55,14,3.2,119,4,15.63,1.16
Fuxing,76,8.3,0.57,91,99,48,31,1.2,240,5,31.38,0.82
Yonghe,54,3,1.04,19,66,33,40,1.5,357,3,71.79,31.53
Zhushan,84,4.8,0.53,,,,,1.7,305,8,,
Zhongli,60,1.7,0.65,37,72,30,22,1.1,84,3,31.13,9.48
Sanchong,63,3.3,1.89,,84,30,52,,,3,148.43,96.63
Dongshan,56,2.4,0.3,67,40,19,11,1.4,42,2,13.93,2.75
Yilan,48,2.1,0.3,58,41,11,5.4,2,131,2,6.14,0.76
Yangming,34,3.1,0.38,41,,,12,,,2,13.04,1.37
Hualien,38,1.5,0.28,46,40,16,3.8,2.8,154,2,5.39,1.58
Taitung,35,1.3,0.47,42,29,10,6.6,1.6,218,2,9.01,2.45
Hengchun,42,1.1,0.2,51,42,11,1.7,4.1,75,1,4.01,2.33
Chaozhou,90,6.5,0.56,109,113,64,14,2.8,254,7,14.16,0.54
Pingtung,92,10,0.68,111,99,53,21,1.8,181,6,22.52,1.39
Xiaogang,75,16,0.44,68,88,40,29,3.3,281,6,32.49,3.21
Qianzhen,69,8,0.51,,85,45,,2.3,294,4,,
Qianjin,91,6.4,0.57,110,108,41,14,2.5,340,5,14.47,0.68
Zuoying,91,5,0.48,109,89,56,15,3,298,7,15.53,0.73
Nanzi,82,4.6,0.51,99,114,51,12,2.8,279,5,14.11,2.28
Linyuan,82,12,0.32,98,56,44,11,2.8,267,5,12.43,1.04
Daliao,73,39,1.29,64,113,52,48,2,237,6,51.88,4.31
Fengshan,83,8.5,0.84,89,132,52,29,2.3,302,6,31.55,2.45
Renwu,82,4.9,0.54,98,105,42,21,2.2,290,5,22.4,1.6
Qiaotou,76,6,0.52,82,97,39,20,3.2,296,5,22.39,2.2
Meinong,70,3.8,0.42,84,60,37,7.4,1.1,138,4,8.61,1.19
Tainan,84,2.6,0.5,72,90,43,12,1.9,302,9,13.23,1.4
Annan,86,1.7,0.35,65,90,44,7.2,2.6,302,9,7.32,0.15
Shanhua,82,3.3,0.38,73,112,50,8.9,2.4,304,8,10.35,1.41
Xinying,94,3.5,0.42,67,114,31,11,2.3,308,8,12.45,1.59
Chiayi,0,,0.51,71,134,56,,3.6,319,9,,
Taixi,72,2.7,0.33,65,,41,6.8,5.9,23,4,8.01,1.18
Puzi,96,4.2,0.41,68,134,59,12,2.3,45,9,12.76,1.14
Xingang,95,7.4,0.45,65,137,63,8.9,3.1,312,9,10.79,1.88
Lunbei,85,1.6,0.35,64,109,49,8,3.5,33,7,8.5,0.46
Douliu,86,4.2,0.47,77,114,74,9.2,2.3,336,10,11.02,1.82
Nantou,88,1.5,0.57,72,127,66,16,1.9,30,9,17.37,1.76
Erlin,80,3.8,0.38,57,97,26,9.8,4.5,313,4,11.44,1.63
Xianxi,64,3.3,0.33,55,80,38,9.7,4.3,120,4,11.02,1.32
Changhua,74,2.9,0.4,,70,39,12,3.5,34,6,13.54,1.83
Xitun,76,2.1,0.37,53,92,44,19,3.1,308,6,20.92,2.37
Zhongming,80,1.1,0.41,54,95,40,17,2.7,33,5,19.75,2.88
Dali,100,1.8,0.6,63,130,45,22,2.5,320,8,25.66,3.61
Shalu,66,-0.5,0.32,51,71,30,13,3.6,2.2,3,15.86,3.36
Fengyuan,0,,,36,85,54,,2,315,8,,
Sanyi,68,,,38,,,,3.4,31,4,,
Miaoli,68,1.2,0.37,47,79,39,11,1.9,57,5,12.63,1.49
Toufen,0,0.4,0.37,49,71,24,11,2.5,313,,11.54,1.03
Hsinchu,56,1.5,0.35,51,61,20,9.6,1.6,67,3,14.93,5.36
Zhudong,60,1.5,0.34,39,75,36,14,2.1,307,4,16.78,2.52
Hukou,56,2.3,0.25,50,63,26,8.7,3.4,39,3,10.14,1.41
Longtan,0,1.8,0.46,37,114,26,,,,,,
Pingzhen,54,3,0.3,37,56,30,12,2,33,3,13.45,1.6
Guanyin,0,1.7,0.28,,53,29,,,,,,
Dayuan,54,1.5,0.3,39,62,27,11,3.6,327,3,12.95,1.66
Taoyuan,52,2.7,0.43,37,61,20,21,0.8,303,2,24.38,3.3
Datong,62,2.7,0.93,,83,32,26,,,3,37.47,11.26
Songshan,51,,,35,63,39,,2.6,294,2,,
Guting,54,2.6,0.51,37,64,26,24,1.8,315,2,27.51,3.26
Wanhua,50,2.8,0.57,32,59,28,27,2.2,280,2,31.82,5.1
Zhongshan,50,3.1,0.78,27,77,27,33,1.6,288,2,46.07,12.97
Shilin,46,1.7,0.32,45,55,20,12,2.2,290,2,13.2,1.22
Tamsui,43,1.5,0.33,41,53,22,9.9,,,2,11.15,1.27
Linkou,50,1.3,0.24,53,29,18,4.7,2.7,316,2,5.22,0.57
Cailiao,54,2.8,0.42,36,60,23,21,2.5,298,2,23.34,2.04
Xinzhuang,55,1.6,0.42,33,60,27,24,4.4,21,3,28.57,4.6
Banqiao,56,4.2,0.55,38,71,35,22,2.9,314,3,23.61,2.03
Tucheng,57,4,0.43,36,75,31,24,2.2,308,3,28.14,3.93
Xindian,53,5.7,0.47,26,84,36,30,4,290,3,34.52,4.25
Wanli,54,3.4,0.28,46,71,18,9.8,3.2,37,2,12.67,2.87
