date,station,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
20110101,Shihlin,CO,0.57,0.63,0.44,0.35,0.31,0.29,0.26,0.3,0.3,0.28,0.32,0.29,0.29,0.32,0.29,0.29,0.3,0.31,0.35,0.36,0.34,0.34,0.36,0.35
20110101,Shihlin,NO2,33,32,23,13,12,9.8,8,10,11,9.3,9.9,7.6,8.2,7.6,10,11,12,11,13,13,14,13,12,11
20110101,Shihlin,O3,10,10,20,27,27,29,30,28,28,30,31,35,36,37,34,32,33,33,30,29,27,27,27,27
20110101,Shihlin,PM10,55,65,72,67,61,54,35,33,43,68,65,60,50,54,47,46,45,46,45,44,43,56,55,58
20110101,Shihlin,PM2.5,18,33,29,41,31,10,13,20,16,10,23,16,4,12,27,31,15,18,33,21,17,30,27,30
20110101,Shihlin,SO2,3.7,4.2,4.1,3.9,3.9,3,3.3,3.5,3.3,3,3.5,3.9,3.3,2.9,2.9,3,2.9,2.5,2.8,3.4,3.7,3.6,3.1,2.8
20110101,ChungShan,CO,0.57,0.82,0.71,0.79,0.67,0.62,0.5,0.62,0.57,0.47,0.47,0.54,0.43,0.38,0.46,0.5,0.5,0.66,0.65,0.62,0.6,0.63,0.68,0.62
20110101,ChungShan,NO2,23,30,29,32,31,29,25,28,26,20,21,24,18,16,20,24,25,32,32,30,31,32,33,32
20110101,ChungShan,O3,20,14,12,8,8.6,8.8,14,11,15,21,21,20,26,30,25,21,21,15,14,13,12,9,6.9,8.1
20110101,ChungShan,PM10,64,66,67,64,62,61,52,57,62,64,56,54,51,45,41,43,52,50,46,40,49,59,58,57
20110101,ChungShan,PM2.5,28,28,31,28,28,31,26,27,31,32,32,32,29,29,22,31,26,28,26,25,25,26,31,28
20110101,ChungShan,SO2,4.6,3.9,3.8,3.6,3.4,3.3,3.9,4.2,4,3.6,3.6,3.6,3.3,2.9,2.8,3,3,3.2,3.2,3.9,4.8,6.2,4.6,4
20110101,kuting,CO,0.43,0.52,0.38,0.33,0.3,0.32,0.34,0.4,0.4,0.37,0.4,0.39,0.36,0.35,0.37,0.38,0.4,0.43,0.5,0.45,0.44,0.44,0.42,0.36
20110101,kuting,NO2,17,20,16,13,11,12,14,18,19,17,18,17,14,14,15,18,21,23,28,26,23,21,18,12
20110101,kuting,O3,25,21,24,26,27,25,23,21,20,23,24,27,31,32,31,28,26,24,19,19,21,20,22,26
20110101,kuting,PM10,68,67,70,66,62,61,64,63,64,69,72,69,64,60,59,58,58,54,48,52,56,54,56,53
20110101,kuting,PM2.5,13,25,18,21,16,17,14,14,16,24,26,27,18,15,19,20,22,19,16,15,17,26,24,22
20110101,kuting,SO2,2.3,2.9,2.9,2.6,2.5,2.3,2.4,2.8,3.4,4.2,3.5,3,3,2.5,2.4,2.4,3.7,4,3.7,4.6,4.7,3.8,3.3,2.9
20110101,SongShan,CO,0.56,0.72,0.66,0.46,0.31,0.33,0.33,0.38,0.44,0.34,0.31,0.31,0.3,0.29,0.29,0.3,0.35,0.4,0.43,0.46,0.45,0.47,0.44,0.37
20110101,SongShan,NO2,20,26,27,16,11,14,16,18,34,19,14,15,14,14,15,16,28,34,35,32,24,25,21,15
20110101,SongShan,O3,23,17,17,22,27,23,23,20,10,21,28,28,29,31,30,29,19,14,13,12,18,16,18,22
20110101,SongShan,PM10,92,83,54,54,55,57,56,54,56,66,53,63,61,50,48,31,49,55,30,42,52,65,64,41
20110101,SongShan,PM2.5,32,30,34,22,26,27,22,14,10,22,30,32,27,27,23,28,27,34,28,30,30,31,29,27
20110101,SongShan,SO2,6.3,3.6,3.2,3.1,2.7,2.6,3.3,4.1,4.4,3.5,3.2,3.3,2.9,2.6,2.5,2.5,3,3.2,3.4,3.8,3.9,3.7,3.1,2.9
