date,type,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
20110101,PM2.5,13,25,18,21,16,17,14,14,16,24,26,27,18,15,19,20,22,19,16,15,17,26,24,22
20110102,PM2.5,22,26,26,21,15,20,21,25,19,20,26,24,24,23,26,27,21,22,24,26,25,20,22,20
20110103,PM2.5,16,13,11,14,16,13,17,17,28,25,25,14,15,10,17,14,16,16,16,17,15,18,17,19
20110104,PM2.5,19,16,22,26,32,33,31,29,32,37,46,46,41,,,43,40,38,37,35,34,,36,31
20110105,PM2.5,25,20,23,26,28,20,25,26,33,29,21,25,24,30,21,22,19,20,25,29,27,22,29,24
20110106,PM2.5,23,16,15,18,8,12,7,9,8,22,30,33,24,22,30,35,44,43,44,48,47,53,52,52
20110107,PM2.5,42,36,29,34,31,33,21,20,19,25,20,20,16,20,21,14,8,8,13,16,12,10,9,10
20110108,PM2.5,6,8,4,13,12,13,14,15,18,12,10,6,9,8,14,8,9,6,16,22,22,15,15,13
20110109,PM2.5,18,18,19,16,17,13,11,2,4,8,14,19,17,20,20,26,32,45,55,59,59,65,63,65
20110110,PM2.5,59,58,53,54,47,38,29,21,16,14,21,17,15,9,18,15,19,12,15,8,9,5,7,6
20110111,PM2.5,10,9,12,6,7,8,8,12,8,17,20,24,19,13,13,17,26,26,,25,21,24,18,24
20110112,PM2.5,13,25,22,23,14,17,21,25,31,34,38,37,44,42,47,46,59,56,54,48,44,52,47,49
20110113,PM2.5,41,45,37,41,38,43,45,45,49,34,33,30,34,29,,26,32,34,35,27,27,30,35,23
20110114,PM2.5,14,12,18,17,19,16,21,17,21,17,26,45,59,58,35,22,12,21,22,27,21,22,23,22
20110115,PM2.5,20,16,14,10,7,11,11,9,4,1,5,11,14,12,17,25,28,28,26,30,37,47,54,49
20110116,PM2.5,44,43,45,35,34,30,29,24,20,23,20,17,20,16,17,17,24,20,18,12,13,15,11,18
20110117,PM2.5,11,14,8,7,7,8,10,15,15,18,14,12,8,9,10,8,11,13,17,14,10,10,10,10
20110118,PM2.5,15,12,13,9,15,17,21,20,17,14,13,12,13,14,14,11,8,19,19,22,14,8,6,6
20110119,PM2.5,11,11,13,17,16,16,14,12,11,14,19,16,11,10,12,15,12,14,16,20,15,13,14,13
20110120,PM2.5,12,8,8,4,7,11,9,11,10,11,9,11,21,18,18,13,11,10,8,8,8,9,9,8
